date,spot,total_gex,gex_z,gex_regime,max_pain,vix,daily_return
2026-01-22,25289.9,84878168.2718777,-0.07244986900104433,positive,25400.0,13.35,0.0
2026-01-23,25048.65,124599008.08774778,0.22594733484151627,positive,25250.0,14.19,0.0012455565265184914
2026-01-27,25175.4,20135573.04012666,-0.6175610897301782,positive,25200.0,14.45,0.0012455565265184914
2026-01-28,25342.75,40404048.41098407,-0.36447322875618665,positive,25300.0,13.53,0.0012455565265184914
2026-01-29,25418.9,29361923.110889487,-0.3988879891464224,positive,25350.0,13.37,0.0012455565265184914
2026-01-30,25320.65,53899594.0038576,-0.11607861538130576,positive,25300.0,13.63,0.0
2026-02-02,25088.4,49094595.8915238,-0.23939349270428648,positive,25050.0,13.87,0.0
2026-02-03,25727.55,47679407.603590064,-0.2716441982548326,positive,25700.0,12.9,0.0
2026-02-04,25776.0,33518303.42718485,-0.9236580053502988,positive,25750.0,12.25,0.00039970122819051366
2026-02-05,25642.8,144385968.18949708,1.1777416175788253,positive,25650.0,12.17,0.00039970122819051366
2026-02-06,25693.7,65136862.591903016,-0.32676563842865114,positive,25650.0,11.94,0.00039970122819051366
